City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Dieppe,FR,49.75,1.1667,61.2,93,27,1.3,scattered clouds
198,Florianopolis,BR,-27.6146,-48.5012,61.36,89,75,9.22,broken clouds
199,Enfield,AU,-34.8526,138.6026,45.37,84,20,6.91,few clouds
200,Marsa Matruh,EG,31.3525,27.2453,76.69,81,0,10.27,clear sky
201,Punta De Piedra,VE,7.6176,-71.4916,81.3,80,27,2.17,scattered clouds
202,Torbay,CA,47.6666,-52.7314,66.97,81,75,12.66,broken clouds
203,Clarence Town,AU,-32.5833,151.7833,55.85,96,100,2.17,light rain
204,Coihueco,CL,-36.6167,-71.8333,45.34,87,75,6.91,broken clouds
205,Kembe,CF,4.6228,21.8865,68.63,97,98,1.03,moderate rain
206,San Lorenzo,PY,-25.3333,-57.5333,79.74,57,0,8.05,clear sky
207,The Valley,AI,18.217,-63.0578,84.34,70,40,18.41,scattered clouds
208,Ashington,GB,50.9331,-0.3909,60.12,80,1,3.0,clear sky
209,Inhambane,MZ,-23.865,35.3833,68.65,81,53,8.3,broken clouds
210,Suratgarh,IN,29.3167,73.9,86.74,65,70,3.4,broken clouds
211,Male,MV,4.1748,73.5089,84.15,79,75,19.57,broken clouds
212,Vitoria,BR,-20.3194,-40.3378,71.85,87,40,3.44,scattered clouds
213,Awjilah,LY,29.1081,21.2869,83.88,29,0,7.65,clear sky
214,Touros,BR,-5.1989,-35.4608,77.34,86,25,10.85,scattered clouds
215,Whithorn,JM,18.2604,-78.0378,83.46,75,95,1.39,overcast clouds
216,Bad Nenndorf,DE,52.3333,9.3667,60.55,78,20,2.3,few clouds
217,Luau,AO,-10.7073,22.2247,59.29,43,8,5.32,clear sky
218,Mahon,ES,39.8885,4.2658,72.16,64,0,10.36,clear sky
219,Yei,SS,4.095,30.6779,65.77,92,91,4.52,overcast clouds
220,Sinnai,IT,39.3042,9.2036,81.12,60,0,5.75,clear sky
221,Olenegorsk,RU,68.15,33.3,56.8,74,42,2.93,scattered clouds
222,Joshimath,IN,30.5667,79.5667,71.31,91,99,1.3,moderate rain
223,San Carlos Del Zulia,VE,9.0,-71.9135,87.37,57,83,9.98,broken clouds
224,Macusani,PE,-14.0833,-70.4333,44.01,59,7,5.12,clear sky
225,Nanortalik,GL,60.1432,-45.2371,42.28,85,10,12.48,clear sky
226,Hun,LY,29.1268,15.9477,88.65,23,0,7.52,clear sky
227,Patrocinio,BR,-18.9439,-46.9925,64.85,44,0,5.32,clear sky
228,Zafarwal,PK,32.3463,74.8999,87.49,59,48,3.11,scattered clouds
229,Carsamba,TR,41.1989,36.7219,68.79,83,20,4.61,few clouds
230,Chilca,PE,-12.5211,-76.7372,61.57,85,24,6.67,few clouds
231,Vangaindrano,MG,-23.35,47.6,65.84,79,99,4.99,overcast clouds
232,Dudinka,RU,69.4058,86.1778,52.63,63,5,15.48,clear sky
233,Lugoba,TZ,-6.45,38.3333,62.87,86,0,3.74,clear sky
234,Eyl,SO,7.9803,49.8164,79.3,62,59,24.85,broken clouds
235,Qaqortoq,GL,60.7167,-46.0333,43.7,77,9,9.6,clear sky
236,Losevo,RU,50.6767,40.045,48.25,85,16,11.1,few clouds
237,Beloha,MG,-25.1667,45.05,63.79,70,0,13.6,clear sky
238,Le Port,RE,-20.9373,55.2919,69.8,58,83,4.36,broken clouds
239,Axim,GH,4.8699,-2.2405,75.85,81,36,9.08,scattered clouds
240,Doha,QA,25.2867,51.5333,94.98,25,0,4.61,clear sky
241,Havoysund,NO,70.9963,24.6622,52.03,73,0,10.0,clear sky
