City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Kaseda,JP,2022-06-28 17:40:29,31.4167,130.3167,77.09,92,83,6.89
164,Alenquer,BR,2022-06-28 17:40:30,-1.9417,-54.7383,89.08,49,13,4.99
165,Ancud,CL,2022-06-28 17:40:30,-41.8697,-73.8203,50.85,97,100,7.81
166,Mount Pleasant,US,2022-06-28 17:40:31,32.7941,-79.8626,77.22,100,0,4.61
167,Kodiak,US,2022-06-28 17:40:31,57.79,-152.4072,60.31,67,0,4.61
168,Saint-Philippe,RE,2022-06-28 17:40:32,-21.3585,55.7679,65.79,71,44,14.41
169,Nome,US,2022-06-28 17:40:32,64.5011,-165.4064,49.15,87,75,0.0
170,Faanui,PF,2022-06-28 17:40:32,-16.4833,-151.75,79.7,73,24,21.34
171,Hope,US,2022-06-28 17:40:33,33.6671,-93.5916,82.98,29,5,9.04
172,Kharan,PK,2022-06-28 17:40:34,28.5833,65.4167,101.75,13,31,8.41
173,Alamos,MX,2022-06-28 17:40:34,27.0167,-108.9333,95.0,34,73,3.31
174,Vanimo,PG,2022-06-28 17:40:34,-2.6741,141.3028,76.57,88,96,5.88
175,Thinadhoo,MV,2022-06-28 17:40:35,0.5333,72.9333,83.19,73,45,6.82
176,San Patricio,US,2022-06-28 17:40:36,28.017,-97.5169,93.09,43,79,10.45
177,Lerwick,GB,2022-06-28 17:40:36,60.1545,-1.1494,57.2,84,99,23.49
178,Myitkyina,MM,2022-06-28 17:40:37,25.3833,97.4,73.13,100,100,1.81
179,Xuddur,SO,2022-06-28 17:40:37,4.1213,43.8894,74.97,68,95,17.34
180,Bandundu,CD,2022-06-28 17:38:06,-3.3167,17.3667,82.49,32,72,1.1
181,Broome,US,2022-06-28 17:40:38,42.2506,-75.833,74.01,56,40,5.75
182,Caravelas,BR,2022-06-28 17:40:38,-17.7125,-39.2481,70.84,66,100,5.28
